,marketplace,title,price,sold,city,link,extraction_date
38,shopee,VGA Colorful RTX 2060 NB 2V 6GB DDR6,Rp12.880.000,0,3 Tahun,https://shopee.co.id/VGA-Colorful-RTX-2060-NB-2V-6GB-DDR6-i.382480607.12635956334?sp_atk=a379d84f-7c6e-4857-97fd-af659d130514,2021-10-26
39,shopee,VGA MSI RTX2060 VENTUS GP OC 6G / RTX 2060,Rp13.080.000,0,Tidak Garansi,https://shopee.co.id/VGA-MSI-RTX2060-VENTUS-GP-OC-6G-RTX-2060-i.382480607.11763768003?sp_atk=af9d4512-2171-419d-a0ff-7cc0e36b76bc,2021-10-26
40,shopee,VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR6,Rp12.880.000,0,3 Tahun,https://shopee.co.id/VGA-Colorful-Geforce-RTX-2060-NB-V-6GB-6-GB-GDDR6-i.382480607.13535863711?sp_atk=b827fc22-1c61-4e6e-8031-74d4129ee8a9,2021-10-26
41,shopee,VGA Card PNY GeForce RTX 2060 XLR8 OC 6GB,,0,,https://shopee.co.id/VGA-Card-PNY-GeForce-RTX-2060-XLR8-OC-6GB-i.19350071.11857391291?sp_atk=9bc7b43a-199f-4a6d-9792-6f616e2b7c4e,2021-10-26
42,shopee,VGA Card MSI Geforce RTX 2060 RTX2060 Ventus GP OC 6 GB GDDR6,Rp14.271.000,0,Tidak Garansi,https://shopee.co.id/VGA-Card-MSI-Geforce-RTX-2060-RTX2060-Ventus-GP-OC-6-GB-GDDR6-i.382480607.12835981924?sp_atk=1a1bb340-b3c9-4863-85c2-102f2fd8091f,2021-10-26
43,shopee,VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR6,Rp12.880.000,0,3 Tahun,https://shopee.co.id/VGA-Colorful-Geforce-RTX-2060-NB-V-6GB-6-GB-GDDR6-i.382480607.13135849102?sp_atk=7d0a314d-5f15-41be-82d2-57bfc06c99ee,2021-10-26
44,shopee,VGA GALAX RTX 2060 SUPER 8GB GDDR6,Rp14.000.000,0,Pernah Dipakai,https://shopee.co.id/VGA-GALAX-RTX-2060-SUPER-8GB-GDDR6-i.560414350.13936214584?sp_atk=c2d63914-4c2d-41bb-a451-fbb0c0e8f4a5,2021-10-26
45,shopee,Vga ASUS RTX 2060 Dual Evo OC 6GB - Asus Geforce RTX 2060 OC 6GB Dual,Rp12.934.000,0,Tidak Garansi,https://shopee.co.id/Vga-ASUS-RTX-2060-Dual-Evo-OC-6GB-Asus-Geforce-RTX-2060-OC-6GB-Dual-i.382480607.13035862437?sp_atk=7091ece4-ee8f-491a-8b18-2f3cdd272ca3,2021-10-26
46,shopee,VGA MSI Geforce RTX 2060 6GB Ventus GP OC - 6 GB DDR6,Rp13.566.000,0,Tidak Garansi,https://shopee.co.id/VGA-MSI-Geforce-RTX-2060-6GB-Ventus-GP-OC-6-GB-DDR6-i.382480607.13235880336?sp_atk=08d11584-f1b6-4220-b93f-7f07f321f88d,2021-10-26
47,shopee,GALAX Geforce RTX 2060 6GB DDR6 (1-Click OC) PROMO,Rp7.242.000,0,215,https://shopee.co.id/GALAX-Geforce-RTX-2060-6GB-DDR6-(1-Click-OC)-PROMO-i.182043452.3645113294?sp_atk=ce880179-3894-49c0-b264-dce7ad53facc,2021-10-26
48,shopee,Gigabyte VGA GeForce RTX 2060 D6 6G GV-N2060D6-6GD,Rp17.590.000,0,3 Tahun,https://shopee.co.id/Gigabyte-VGA-GeForce-RTX-2060-D6-6G-GV-N2060D6-6GD-i.382480607.13135851110?sp_atk=dc09ace0-0402-4d57-808c-f4c8e865f1f9,2021-10-26
49,shopee,VGA ASUS GeForce RTX 2060 / RTX2060 Dual EVO OC - 6GB GDDR6,Rp13.315.000,0,3 Tahun,https://shopee.co.id/VGA-ASUS-GeForce-RTX-2060-RTX2060-Dual-EVO-OC-6GB-GDDR6-i.382480607.10863697133?sp_atk=d1cfbef3-4140-4038-b7d4-99a9b728fbcf,2021-10-26
50,shopee,VGA MSI RTX 2060 VENTUS GP OC 6GB GDDR6 RTX2060 MSI,Rp11.200.000,0,24 Bulan,https://shopee.co.id/VGA-MSI-RTX-2060-VENTUS-GP-OC-6GB-GDDR6-RTX2060-MSI-i.160496031.12035911268?sp_atk=ef3cf034-92e3-4c2d-8973-d90cf8ce4599,2021-10-26
51,shopee,VGA Colorful RTX 2060 NB V 6GB DDR6,Rp12.765.000,0,3 Tahun,https://shopee.co.id/VGA-Colorful-RTX-2060-NB-V-6GB-DDR6-i.382480607.12235849556?sp_atk=720deeac-e8e4-4103-a7e9-87f0fc62b567,2021-10-26
52,shopee,Galax Geforce RTX 2060 6GB DDR6 - Dual Fan PROMO,Rp7.752.000,0,236,https://shopee.co.id/Galax-Geforce-RTX-2060-6GB-DDR6-Dual-Fan-PROMO-i.182043452.5245210505?sp_atk=57f8f960-b73f-4616-a526-5daf45e0775e,2021-10-26
53,shopee,Unik MSI RTX 2060 GAMING Z 6G 6GB GDDR6 Berkualitas,Rp8.930.300,0,999996,https://shopee.co.id/Unik-MSI-RTX-2060-GAMING-Z-6G-6GB-GDDR6-Berkualitas-i.185766617.6321341836?sp_atk=e9b79a1d-a943-49bd-bd47-5a83d53e0d45,2021-10-26
54,shopee,MSI GeForce RTX 2060 Ventus XS 6GB GDDR6 VGA,Rp6.960.000,0,Tidak Garansi,https://shopee.co.id/MSI-GeForce-RTX-2060-Ventus-XS-6GB-GDDR6-VGA-i.382480607.12635908830?sp_atk=6a86c0da-b09e-46ec-8e01-75adec0c682f,2021-10-26
55,shopee,Vga Card Pci 1GB 128bit DDR3 - VGA Nvidia GT220 1GB 128bit DDR3 port HDMI VGA,Rp375.000,1,Pernah Dipakai,https://shopee.co.id/Vga-Card-Pci-1GB-128bit-DDR3-VGA-Nvidia-GT220-1GB-128bit-DDR3-port-HDMI-VGA-i.26763450.10857217042?sp_atk=20fddb34-3bbb-4e1c-813e-d8e24eea2854,2021-10-26
56,shopee,Ver009S Plus/010S plus PCI-E Riser Board 1x to 16x Adapter Card Graphics Extension Riser Card PCI-E USB 3.0 GPU Adapter with 6pin Interface PCI-E Extender Board,Rp18.849 - Rp104.297,14,12 Bulan,https://shopee.co.id/Ver009S-Plus-010S-plus-PCI-E-Riser-Board-1x-to-16x-Adapter-Card-Graphics-Extension-Riser-Card-PCI-E-USB-3.0-GPU-Adapter-with-6pin-Interface-PCI-E-Extender-Board-i.12433568.13201475276?sp_atk=6634eed6-bc06-4876-9415-034a9ee75242,2021-10-26
57,shopee,VGA CARD MSI GEFORCE RTX 2060 OC VENTUS GP 6GB - MSI,Rp13.999.000,0,,https://shopee.co.id/VGA-CARD-MSI-GEFORCE-RTX-2060-OC-VENTUS-GP-6GB-MSI-i.565957149.10863215678?sp_atk=101dfe72-bb72-414e-8d60-120a16c7c398,2021-10-26
58,shopee,VGA CARD ASUS RTX 2060 OC 6GB DUAL AUTO EXTREME GRAPHICS CARD - ASUS,Rp13.503.000,0,,https://shopee.co.id/VGA-CARD-ASUS-RTX-2060-OC-6GB-DUAL-AUTO-EXTREME-GRAPHICS-CARD-ASUS-i.565957149.9995767643?sp_atk=691d107f-f6b2-4408-854c-40bee3b42b4c,2021-10-26
59,shopee,MSI GeForce RTX 2060 6GB DDR6 Ventus GP OC VGA MSI RTX 2060 Ventus GP,Rp11.400.000,0,24 Bulan,https://shopee.co.id/MSI-GeForce-RTX-2060-6GB-DDR6-Ventus-GP-OC-VGA-MSI-RTX-2060-Ventus-GP-i.185307643.7787105930?sp_atk=89385b88-bcb1-42e8-aacc-62bdde0a409a,2021-10-26
