,marketplace,title,price,sold,city,link,extraction_date
220,tokopedia,VGA PALIT RTX 2060 6GB DUAL RTX2060 6GB,Rp11.000.000,,Jakarta Pusat,https://www.tokopedia.com/46comp/vga-palit-rtx-2060-6gb-dual-rtx2060-6gb?whid=0,2021-10-26
221,tokopedia,VGA ZOTAC Gaming GE Force RTX 2060 AMP GDDR6/ 6GB,Rp4.970.000,,Jakarta Utara,https://www.tokopedia.com/archive-tokoimanuel1/vga-zotac-gaming-ge-force-rtx-2060-amp-gddr6-6gb?whid=0,2021-10-26
222,tokopedia,VGA GeForce ZOTAC GAMING NVIDIA RTX 2060 6GB GDDR6 192-BIT,Rp11.299.000,,Kota Denpasar,https://www.tokopedia.com/tokoberkahvga/vga-geforce-zotac-gaming-nvidia-rtx-2060-6gb-gddr6-192-bit?whid=0,2021-10-26
223,tokopedia,VGA ASUS GeForce RTX 2060 Dual EVO OC - 6GB GDDR6,Rp10.600.000,,Kota Bandung,https://www.tokopedia.com/pelitajayacomputer/vga-asus-geforce-rtx-2060-dual-evo-oc-6gb-gddr6?whid=0,2021-10-26
224,tokopedia,VGA Inno3D - GeForce RTX 2060 Twin X2,Rp5.650.000,,Jakarta Pusat,https://www.tokopedia.com/archive-wadahit-1630738879/vga-inno3d-geforce-rtx-2060-twin-x2?whid=0,2021-10-26
225,tokopedia,VGA MSI RTX 2060 VENTUS GP OC 6GB GDDR6,Rp11.799.000,,Jakarta Pusat,https://www.tokopedia.com/warriorcom/vga-msi-rtx-2060-ventus-gp-oc-6gb-gddr6?whid=0,2021-10-26
226,tokopedia,ASUS DUAL GeForce RTX 2060 EVO OC edition 6GB GDDR6 - VGA RTX2060 DDR6,Rp12.300.000,Terjual 1,Kota Surabaya,https://www.tokopedia.com/kbcomp/asus-dual-geforce-rtx-2060-evo-oc-edition-6gb-gddr6-vga-rtx2060-ddr6?whid=0,2021-10-26
227,tokopedia,VGA Gigabyte GeForce RTX2060 SUPER WINDFORCE 2 OC 8GB RTX 2060 RESMI,Rp68.500.000,,Jakarta Pusat,https://www.tokopedia.com/mutukomputer/vga-gigabyte-geforce-rtx2060-super-windforce-2-oc-8gb-rtx-2060-resmi?whid=0,2021-10-26
228,tokopedia,VGA MSI GeForce RTX 2060 SUPER GAMING X 8G MURAH BARU PROMO SPECIAL,Rp11.811.000,,Jakarta Barat,https://www.tokopedia.com/farhan11-1/vga-msi-geforce-rtx-2060-super-gaming-x-8g-murah-baru-promo-special?whid=0,2021-10-26
229,tokopedia,VGA ASUS Dual RTX 2060 6GB | RTX2060 6 GB GDDR6 EVO OC PC Gaming,Rp12.250.000,,Jakarta Selatan,https://www.tokopedia.com/yourfuturecomp/vga-asus-dual-rtx-2060-6gb-rtx2060-6-gb-gddr6-evo-oc-pc-gaming?whid=0,2021-10-26
